"","Year","State","Name","Alcoholic Beverage Tax (T10)","Alcoholic Beverage Lic (T20)"
"305",2012,"51","WY STATE GOVT","1742","0"
"306",2011,"00","US STATE GOVTS","5734886","445460"
"307",2011,"01","AL STATE GOVT","167871","3967"
"308",2011,"02","AK STATE GOVT","35747","1806"
"309",2011,"03","AZ STATE GOVT","63365","7503"
"310",2011,"04","AR STATE GOVT","46781","4280"
"311",2011,"05","CA STATE GOVT","334178","51535"
"312",2011,"06","CO STATE GOVT","37014","6238"
"313",2011,"07","CT STATE GOVT","48923","12402"
"314",2011,"08","DE STATE GOVT","16883","1982"
"315",2011,"10","FL STATE GOVT","560163","8314"
"316",2011,"11","GA STATE GOVT","161803","2913"
"317",2011,"12","HI STATE GOVT","48054","0"
"318",2011,"13","ID STATE GOVT","7934","1409"
"319",2011,"14","IL STATE GOVT","268276","11906"
"320",2011,"15","IN STATE GOVT","43494","10096"
"321",2011,"16","IA STATE GOVT","14273","12284"
"322",2011,"17","KS STATE GOVT","113247","3352"
"323",2011,"18","KY STATE GOVT","113252","5759"
"324",2011,"19","LA STATE GOVT","55948","0"
"325",2011,"20","ME STATE GOVT","17464","5990"
"326",2011,"21","MD STATE GOVT","30434","1177"
"327",2011,"22","MA STATE GOVT","73661","3122"
"328",2011,"23","MI STATE GOVT","143213","16198"
"329",2011,"24","MN STATE GOVT","77850","1842"
"330",2011,"25","MS STATE GOVT","42128","2852"
"331",2011,"26","MO STATE GOVT","32959","4963"
"332",2011,"27","MT STATE GOVT","24850","2109"
"333",2011,"28","NE STATE GOVT","27668","1010"
"334",2011,"29","NV STATE GOVT","40479","0"
"335",2011,"30","NH STATE GOVT","12751","3996"
"336",2011,"31","NJ STATE GOVT","131442","10885"
"337",2011,"32","NM STATE GOVT","44578","1620"
"338",2011,"33","NY STATE GOVT","230074","47926"
"339",2011,"34","NC STATE GOVT","310616","16077"
"340",2011,"35","ND STATE GOVT","7796","310"
"341",2011,"36","OH STATE GOVT","93986","43281"
"342",2011,"37","OK STATE GOVT","94902","1204"
"343",2011,"38","OR STATE GOVT","16294","3080"
"344",2011,"39","PA STATE GOVT","307664","16618"
"345",2011,"40","RI STATE GOVT","12282","53"
"346",2011,"41","SC STATE GOVT","151355","9676"
"347",2011,"42","SD STATE GOVT","18749","757"
"348",2011,"43","TN STATE GOVT","123266","1200"
"349",2011,"44","TX STATE GOVT","871147","58703"
"350",2011,"45","UT STATE GOVT","42413","1936"
"351",2011,"46","VT STATE GOVT","21137","372"
"352",2011,"47","VA STATE GOVT","190288","12067"
"353",2011,"48","WA STATE GOVT","331900","13598"
"354",2011,"49","WV STATE GOVT","17524","15543"
"355",2011,"50","WI STATE GOVT","55130","1549"
"356",2011,"51","WY STATE GOVT","1680","0"
"357",2010,"00","US STATE GOVTS","5510596","450291"
"358",2010,"01","AL STATE GOVT","167285","3868"
"359",2010,"02","AK STATE GOVT","38939","2475"
"360",2010,"03","AZ STATE GOVT","65418","5444"
"361",2010,"04","AR STATE GOVT","45315","2931"
"362",2010,"05","CA STATE GOVT","311242","51423"
"363",2010,"06","CO STATE GOVT","36209","6045"
"364",2010,"07","CT STATE GOVT","48197","7757"
"365",2010,"08","DE STATE GOVT","16446","1409"
"366",2010,"10","FL STATE GOVT","590423","8583"
"367",2010,"11","GA STATE GOVT","169019","1327"
"368",2010,"12","HI STATE GOVT","44074","0"
"369",2010,"13","ID STATE GOVT","7882","1399"
"370",2010,"14","IL STATE GOVT","230394","11952"
"371",2010,"15","IN STATE GOVT","41563","11502"
"372",2010,"16","IA STATE GOVT","14488","11803"
"373",2010,"17","KS STATE GOVT","111405","2811"
"374",2010,"18","KY STATE GOVT","111074","5885"
"375",2010,"19","LA STATE GOVT","55331","0"
"376",2010,"20","ME STATE GOVT","16864","4711"
"377",2010,"21","MD STATE GOVT","29874","1118"
"378",2010,"22","MA STATE GOVT","71887","3006"
"379",2010,"23","MI STATE GOVT","140586","14264"
"380",2010,"24","MN STATE GOVT","75051","1788"
"381",2010,"25","MS STATE GOVT","41208","2815"
"382",2010,"26","MO STATE GOVT","32785","4890"
"383",2010,"27","MT STATE GOVT","31920","2053"
"384",2010,"28","NE STATE GOVT","27002","3508"
"385",2010,"29","NV STATE GOVT","39380","0"
"386",2010,"30","NH STATE GOVT","12865","3704"
"387",2010,"31","NJ STATE GOVT","126367","10399"
"388",2010,"32","NM STATE GOVT","39337","3534"
"389",2010,"33","NY STATE GOVT","224621","49000"
"390",2010,"34","NC STATE GOVT","294532","15507"
"391",2010,"35","ND STATE GOVT","7368","257"
"392",2010,"36","OH STATE GOVT","93643","38882"
"393",2010,"37","OK STATE GOVT","90066","1192"
"394",2010,"38","OR STATE GOVT","16252","3390"
"395",2010,"39","PA STATE GOVT","297638","16333"
"396",2010,"40","RI STATE GOVT","11924","109"
"397",2010,"41","SC STATE GOVT","148942","8405"
"398",2010,"42","SD STATE GOVT","14766","695"
"399",2010,"43","TN STATE GOVT","117516","1161"
"400",2010,"44","TX STATE GOVT","812904","72159"
"401",2010,"45","UT STATE GOVT","41260","1936"
"402",2010,"46","VT STATE GOVT","20552","381"
"403",2010,"47","VA STATE GOVT","182381","11700"
"404",2010,"48","WA STATE GOVT","282555","12676"
"405",2010,"49","WV STATE GOVT","8410","22422"
"406",2010,"50","WI STATE GOVT","53792","1682"
"407",2010,"51","WY STATE GOVT","1644","0"
"408",2009,"00","US STATE GOVTS","5347705","430066"
"409",2009,"01","AL STATE GOVT","167830","3881"
"410",2009,"02","AK STATE GOVT","39626","1819"
"411",2009,"03","AZ STATE GOVT","62799","7928"
"412",2009,"04","AR STATE GOVT","45623","1619"
"413",2009,"05","CA STATE GOVT","323934","49448"
"414",2009,"06","CO STATE GOVT","35972","5939"
"415",2009,"07","CT STATE GOVT","47064","6571"
"416",2009,"08","DE STATE GOVT","15519","1187"
"417",2009,"10","FL STATE GOVT","590400","8629"
"418",2009,"11","GA STATE GOVT","166618","2053"
"419",2009,"12","HI STATE GOVT","47242","0"
"420",2009,"13","ID STATE GOVT","8122","1486"
"421",2009,"14","IL STATE GOVT","157622","11729"
"422",2009,"15","IN STATE GOVT","43498","11244"
"423",2009,"16","IA STATE GOVT","14704","11004"
"424",2009,"17","KS STATE GOVT","111589","2745"
"425",2009,"18","KY STATE GOVT","111596","6272"
"426",2009,"19","LA STATE GOVT","56881","0"
"427",2009,"20","ME STATE GOVT","17438","4704"
"428",2009,"21","MD STATE GOVT","29168","1014"
"429",2009,"22","MA STATE GOVT","72598","2941"
"430",2009,"23","MI STATE GOVT","140488","14078"
